tweet_text,cyberbullying_type
muslims figured out slavery way before you white people we would buy slaves and set them free and give them equal chances in a world where white people made it alright to own black slaves our religion and government had it figured out years ago educate yourself idiot,religion
hoje adolescentes vão tirar suas próprias vidas devido ao bullying › reblog se você se importa › ›,not_cyberbullying
anything that requires a government id is a privacy concern anything that requires money is a bad idea forever,other_cyberbullying
can’t wait to tell my kids that i met their dad in school but he used to bully me,age
nigger fuck you u prick fuck yoh dumb ass,ethnicity
so just to save you all some time bsd is my family the only negative response gg ever received was from a nondev,not_cyberbullying
isn’t this just the prettiest ⁣ ⁣ preorder alert ⁣ ⁣ devious kisses the first steamy bully romance standalone in an allnew series it’s just high school is now up for preorder⁣ ⁣ devious kisses by…,age
“ im drunk ass fuck you dumb nigger faggot” you drew,ethnicity
lmao dumb ass bitches fuck that i wanna beat their ass,ethnicity
i went through a lot of this growing up so i can understand the feeling even from people who knew me in school and college but who couldnt at least voice their issues in person instead such people chose to hide behind a screen and bully me online,age
misha collins makes rape jokes and uses the word gay as an insult misha cancelled,gender
roflmao,not_cyberbullying
its not internet rules its the way the code is written,other_cyberbullying
you dumb ugly fuck nigger name wayne positive trash soft ass nigga pictwittercombzjqndm,ethnicity
tasek gelugor mp shabudin is sick and bloody idiot,other_cyberbullying
don’t take the baitreach out to all colored it’s going to take that to move forwardracism is engineered bye those we never see it’s not the common manits used like a weapon divide and conquer don’t take the baitthis place in time needs u to rise above,ethnicity
im being bullied,other_cyberbullying
they cant say fuck but they can say nigger boondocs this shit is sooo dumb,ethnicity
so she can try amp claim innocence but statistics paint her as being someone to avoid and ive been in her sights for a while oh well,not_cyberbullying
bully beatdown o,not_cyberbullying
you offend one high school bully and here come all her friends pack it up dance team,age
disgusting this baton rouge judge mike erwin openly called a black woman a nigger at a local restaurant,ethnicity
i dont care what someone else thinks one has to be an idiot of highest order to treat those who consider themselves as muslims as hindus those muslims must be laughing at our stupidity now your turn do you prefer them over other hindus,religion
im more scared of rd wave feminazi fascists mad max isnt in charge of educating uni students and girl guides,gender
cant you see dumb ugly fuck name wayne ugly black trash nigger name wayne off my pussy off my complexion pictwittercomrnkqxumezt,ethnicity
rt just not very appealing to me then again it is a tv show that revolves around women in prison probably why i dont like…,gender
sighs softly and gets up again was that so hard sit down ill help you treat them nods at the chair,not_cyberbullying
fyi im black there is a thing for white culture called the magical negro white people love the idea that there is an unusually talented or gifted black person who saves the day this has pretty much been about the only type of film with aas in it that gets academy awards,ethnicity
,other_cyberbullying
what the hell were annie and lloyd thinking badchoicesa mkr kat might get their wish of going up against her,not_cyberbullying
i don’t let anyone else call any female i’m with a bitch so why would i use it to describe the mother of my child,gender
fuck ass nigger can not even spell right we do not want jessica to be the homie of a dumb ass now do we,ethnicity
too bad and too desperate to realize there is no muslim ban joe i think you better rethink your policy proposals because at the moment you sound like an idiot,religion
fuck obama dumb ass nigger i guess ignorance is bliss,ethnicity
whered u go in mtown homie i know a couple of the schools from going to tsu,not_cyberbullying
if you dont have an answer you are just being a sanctimonious complainer,not_cyberbullying
i am not sure if enabling twitter from within wow is a good idea or not,other_cyberbullying
in other words “them” is close to a modern day isis the quran permits killing terrorists in selfdefence because they have waged preemptive war against you or against christians jews or people of any faith,religion
for the first time in my months of monitoring this a man momentarily surpassed all the lws in targeted gamergate harassment congrats,other_cyberbullying
video kevin durant gets flushed on by geoff aka big bully at dyckman via,not_cyberbullying
the illuminati even has a branch called the gay mob they will rape and kill you if you deny them no joke look them up,gender
all these girls’ high girls going hard for jill but i heard she hated ghs because she got bullied lol i mean i still love me a girls high girl now,age
racism is bad and there are so many alternatives lipsticks but u choose to support someone who degrades ethnic groups the world is meant for everyone and everyone needs to be respected u like a person who has no respect for people and if u were born a different skin colored,ethnicity
lol i dont think ive ever hear a lamer rationalization in my life that kind of lying gets you blocked,not_cyberbullying
slept then too,other_cyberbullying
well my manager certainly did not agree and neither did the girls in high school who bullied me mercilessly about it,age
the japanese army was a nationalist group not a religious terror group,not_cyberbullying
mileycyrus miley cyrus shocks fans with daterape joke during gig at gay in london,gender
i havent seen jews go on killing rampage against holocaust deniers violence is islams answer to everything,religion
something is deeply wrong with him that and the lying scare the hell out of me,not_cyberbullying
your sense of moral superiority would be laughable if not so damaging to our children do you even know you are as much of a racist as some idiot who speaks against blacks or indians or muslims thats not hate it is the plain truth something you may not recognize,religion
,other_cyberbullying
everyone tryin to be a “cute alt girl” like they didn’t bully us through middle and high school,age
dam my schedule is da mad full lol got mad ppl to see n things to do,not_cyberbullying
if you are a leftist you support nba nike democrats biden who are bought off by china who has gulags of muslims organ trafficking forced muslim female uighur marriages to ethnic non muslim han chinese how crazy are they and they support pedos too usefulidiots,religion
i hate how you niggers keep saying brown skin girl is only for dark skin people shut up please hard r because y’all are acting ignorant as fuck you all sound dumb,ethnicity
need skype verification for keybaseio,other_cyberbullying
as late as some of my friends and i were calling each other na as a term of endearment i also called stuff gay and used the word fggot a lot made rape jokes and sexist jokes i thought it was all fine bc i knew i didnt actually hate black pplgay peoplewomen etc,gender
here again,not_cyberbullying
oh btw i met the girl who bullied me again back in high school we were even classmates lmaooo idk if it was just me or what but she still looked at me like she was still disgusted at me but im cool tho we were just yrs old but still kinda sad looking at who ive become,age
i knew i shouldve stayed home,not_cyberbullying
yo nigger evolution fuck why u making fun of scarce when ur uglier then him for fucks sake ur a dumb monkey go to the zoo,ethnicity
❤️❤️😊,other_cyberbullying
why uscirf is biased and blindfolded by the islamic terrorism what right they have to interfere with national security by supporting traitors,religion
confronting the primary school bully and then breaking his arm with my pencilcase,age
hey twitter armys whoever is good at hacking can you do it for me so i have this girl in my class who is an army too but she bullies me for liking bts and she stole my first ever group friend and now i am all alone but this was in a new school my old school i had friends,age
frankie boyle talks people put money in gave him a couple of gags a rape jokeamp one about gay men having sex with their mum blimey danny devito likes plenty of butter on his crumpet joan rivers escaped getting in the crosshairs good girls go to hell stuck a fork in you,gender
impeached trump is not invincible we beat him now he thinks masks are “patriotic” we beat him he cancelled convention we beat him amp now he stopped his bullying on opening schools we put the “bully” in check we’ll boot the bully out of,age
ive been prescribed adderall for years,other_cyberbullying
you would love my desktop p its in the fantastically ugly case designed by bmw thermaltake,other_cyberbullying
ahemas a pens fan i can appreciate a system that rewards a well executed rebuild souh yeah,other_cyberbullying
right simply because she’s a southern baptist christian woman such a hypocrite that’s why she and l t like each other a lot,religion
i would even be willing to live outside the city for that house,other_cyberbullying
calling players black cunts and niggers is fucking disgusting when you have black people playing in your own team,ethnicity
rt really wish the melbourne girls reacted like chef casper to that fondant critique mkr,not_cyberbullying
even if you arent an outsider youre not welcome here if you berate people for their interests either stop acting like a high school bully or go to your little time out corner,age
rt why starbucks spells your name wrong,not_cyberbullying
rt and i are safe we are outside hiding behind the concrete officer is bleeding badly but im not posting unedit…,other_cyberbullying
again talking about feminists not you man,gender
a liar is a liar christian womanright,religion
facebook,other_cyberbullying
nigga rt i fuck your bitch in your house and i cum on your side of the bed bitch ass punk ass dumb ass basic ass nigger,ethnicity
i you wish i can send you many similar pics from your army who were living in hell and went straight thereif you were capable of ruling hindustan than it was not ruled by muslims for years idiot,religion
and really i like who im becomin,not_cyberbullying
you sad little cracker rt fuck obama dumb ass nigger,ethnicity
anybody want to join me on an adventure i need to get away for a semester im thinking georgia thcollege yolo,not_cyberbullying
el bullying no es nuevo asi es como uno aprende a defenderse dejen de criar niños lelos suficiente tienen con lo que ven en la tv,not_cyberbullying
go fuck yourself you dumb fucking nigger i fucking hate you just you wait bitch just you wait ill get you fat fuck,ethnicity
my real name is universal i got called as male pronouns more than as a female but i give no fuck at all at least you dont call me a bitch when were strangers than its good for me,gender
if u cant vote thats ok they are just showing others that this is what i do i hope u can help vote to no one is saying to prioritize voting over ur well being because u should take care of urself first i hope everyone understands each others perspective and show respect,ethnicity
rt and no im not sexist women are to be treated as any other person on this planet,gender
